rev_hdr_distinct,pr,rev_pld_max,rev_pld_mean,pld_mean,pld_bin_inf,rev_pld_distinct,dst_port,pld_median,hdr_mean,rev_hdr_bin_40,rev_pld_var,pld_distinct,pld_max,num_pkts_in,num_pkts_out,rev_pld_bin_128,bytes_out,hdr_bin_40,src_port,hdr_distinct,id,dns_query_cnt,http_method,http_code,http_content_len,tls_key_exchange_len,tls_svr_ext_cnt,tls_svr_cs_cnt,tls_ext_cnt,tls_cnt,tls_cs_cnt,tls_svr_key_exchange_len,tls_svr_cnt,dns_answer_cnt
1,6,0,0.0,0.0,0,1,443,0,30.67,0,0.0,1,0,3,3,3,0,3,49740,2,3601079,1.0,1.0,502.0,361.0,0.0,1.0,1.0,2.0,1.0,12.0,0.0,6.0,1.0
1,6,0,0.0,0.0,0,1,443,0,30.67,0,0.0,1,0,3,3,3,0,3,50282,2,6131470,1.0,1.0,502.0,361.0,0.0,1.0,1.0,2.0,1.0,12.0,0.0,6.0,1.0
2,6,562,112.4,134.4,0,2,443,0,22.4,1,224.8,2,672,5,5,4,672,1,61189,2,7462848,1.0,1.0,400.0,362.0,0.0,1.0,1.0,2.0,1.0,12.0,0.0,6.0,1.0
1,6,0,0.0,0.0,0,1,443,0,30.67,0,0.0,1,0,3,3,3,0,3,63402,2,6429640,1.0,1.0,502.0,361.0,0.0,1.0,1.0,2.0,1.0,12.0,0.0,6.0,1.0
2,6,1460,388.6,24.0,0,4,80,0,22.4,1,546.78,2,120,5,5,2,120,1,51674,2,3267215,1.0,1.0,200.0,0.0,0.0,1.0,1.0,2.0,1.0,12.0,0.0,6.0,1.0
2,6,478,97.0,9.33,0,3,443,0,22.0,1,190.52,2,56,5,6,4,56,1,57339,2,3279246,1.0,1.0,502.0,360.0,0.0,1.0,1.0,0.0,1.0,4.0,0.0,6.0,1.0
0,6,0,0.0,307.0,1,0,50727,37,21.33,0,0.0,6,1460,0,9,0,2763,1,443,2,8738313,1.0,1.0,502.0,361.0,0.0,1.0,1.0,2.0,1.0,12.0,0.0,6.0,1.0
2,6,1460,576.08,90.27,0,6,443,0,21.09,1,650.96,5,341,12,11,5,993,1,52338,2,5352360,1.0,1.0,502.0,361.0,66.0,1.0,1.0,3.0,7.0,12.0,0.0,7.0,1.0
0,17,0,0.0,19.0,0,0,5355,19,8.0,0,0.0,1,19,0,2,0,38,0,63611,1,3419758,1.0,1.0,502.0,361.0,0.0,1.0,1.0,2.0,1.0,12.0,0.0,6.0,1.0
0,6,0,0.0,0.0,0,0,8080,0,30.67,0,0.0,1,0,0,3,0,0,3,51202,2,5875253,1.0,1.0,502.0,361.0,0.0,1.0,1.0,2.0,1.0,12.0,0.0,6.0,1.0
2,6,323,71.78,171.44,1,2,46925,0,21.33,1,134.28,5,1033,9,9,7,1543,1,52043,2,7051456,1.0,1.0,200.0,8.0,0.0,1.0,1.0,2.0,1.0,12.0,0.0,6.0,1.0
2,6,118,16.38,17.25,0,4,9452,0,21.5,1,38.55,5,118,8,8,8,138,1,63071,2,152865,1.0,1.0,400.0,390.0,0.0,1.0,1.0,2.0,1.0,12.0,0.0,6.0,1.0
1,6,0,0.0,0.0,0,1,443,0,30.67,0,0.0,1,0,3,3,3,0,3,57146,2,7721842,1.0,1.0,502.0,361.0,0.0,1.0,1.0,2.0,1.0,12.0,0.0,6.0,1.0
1,17,343,343.0,45.0,0,1,53,45,8.0,0,0.0,1,45,1,1,0,45,0,53051,1,2360909,1.0,1.0,502.0,361.0,0.0,1.0,1.0,2.0,1.0,12.0,0.0,6.0,9.0
2,6,480,121.75,11.2,0,3,443,0,22.4,1,206.86,2,56,4,5,3,56,1,51773,2,5274853,1.0,1.0,502.0,362.0,0.0,1.0,1.0,0.0,1.0,4.0,0.0,6.0,1.0
2,6,1420,301.6,66.0,0,7,443,0,20.92,0,492.55,5,494,15,13,10,858,1,53028,2,849361,1.0,1.0,502.0,361.0,66.0,4.0,1.0,10.0,5.0,15.0,0.0,3.0,1.0
2,6,157,52.2,8.8,0,3,80,0,22.4,1,66.09,2,44,5,5,4,44,1,49990,2,252827,1.0,1.0,200.0,104.0,0.0,1.0,1.0,2.0,1.0,12.0,0.0,6.0,1.0
1,17,205,154.0,44.5,0,2,53,42,8.0,0,51.0,2,47,2,2,1,89,0,55159,1,3448962,1.0,1.0,502.0,361.0,0.0,1.0,1.0,2.0,1.0,12.0,0.0,6.0,2.0
0,17,0,0.0,175.0,0,0,1900,175,8.0,0,0.0,1,175,0,4,0,700,0,59359,1,160956,1.0,1.0,502.0,361.0,0.0,1.0,1.0,2.0,1.0,12.0,0.0,6.0,1.0
2,6,478,121.25,18.0,0,3,443,0,22.4,1,205.99,2,90,4,5,3,90,1,49471,2,3427101,1.0,1.0,502.0,360.0,0.0,1.0,1.0,2.0,1.0,12.0,0.0,6.0,1.0
0,17,0,0.0,125.75,0,0,1900,132,8.0,0,0.0,4,137,0,4,0,503,0,54931,1,8395380,1.0,1.0,502.0,361.0,0.0,1.0,1.0,2.0,1.0,12.0,0.0,6.0,1.0
0,17,0,0.0,172.0,0,0,1900,172,8.0,0,0.0,1,172,0,4,0,688,0,60497,1,3112840,1.0,1.0,502.0,361.0,0.0,1.0,1.0,2.0,1.0,12.0,0.0,6.0,1.0
2,6,1420,1108.12,31.27,0,28,443,0,20.24,0,528.88,7,629,144,51,23,1595,1,59267,2,7117208,1.0,1.0,502.0,361.0,0.0,1.0,1.0,9.0,6.0,15.0,0.0,19.0,1.0
1,17,148,148.0,66.0,0,1,53,66,8.0,0,0.0,1,66,1,1,0,66,0,55950,1,6725543,1.0,1.0,502.0,361.0,0.0,1.0,1.0,2.0,1.0,12.0,0.0,6.0,0.0
2,6,1460,573.0,85.83,0,6,443,0,21.0,1,653.14,5,341,12,12,6,1030,1,57129,2,1536730,1.0,1.0,502.0,361.0,66.0,1.0,1.0,3.0,7.0,12.0,0.0,7.0,1.0
2,6,1420,683.9,35.24,0,14,443,0,20.48,0,664.76,8,285,41,25,17,881,1,52954,2,8206507,1.0,1.0,502.0,361.0,66.0,4.0,1.0,9.0,9.0,15.0,0.0,6.0,1.0
0,6,0,0.0,0.0,0,0,449,0,30.67,0,0.0,1,0,0,3,0,0,3,53234,2,2602098,1.0,1.0,502.0,361.0,0.0,1.0,1.0,2.0,1.0,12.0,0.0,6.0,1.0
2,6,480,97.4,9.33,0,3,443,0,22.0,1,191.32,2,56,5,6,4,56,1,58519,2,6490268,1.0,1.0,502.0,362.0,0.0,1.0,1.0,0.0,1.0,4.0,0.0,6.0,1.0
2,6,480,121.75,18.0,0,3,443,0,22.4,1,206.86,2,90,4,5,3,90,1,63249,2,6864096,1.0,1.0,502.0,362.0,0.0,1.0,1.0,2.0,1.0,12.0,0.0,6.0,1.0
0,6,0,0.0,343.12,1,0,52808,37,21.5,0,0.0,6,1460,0,8,0,2745,1,443,2,7575793,1.0,1.0,502.0,361.0,0.0,1.0,1.0,2.0,1.0,12.0,0.0,5.0,1.0
0,17,0,0.0,174.0,0,0,1900,174,8.0,0,0.0,1,174,0,4,0,696,0,59532,1,1585772,1.0,1.0,502.0,361.0,0.0,1.0,1.0,2.0,1.0,12.0,0.0,6.0,1.0
2,6,1460,576.08,99.3,0,6,443,0,21.2,1,650.96,5,341,12,10,5,993,1,51934,2,9099659,1.0,1.0,502.0,361.0,66.0,1.0,1.0,3.0,7.0,12.0,0.0,6.0,1.0
1,17,254,182.33,40.33,0,3,53,41,8.0,0,52.65,2,41,3,3,0,121,0,63368,1,7535759,1.0,1.0,502.0,361.0,0.0,1.0,1.0,2.0,1.0,12.0,0.0,6.0,2.0
2,6,480,121.75,11.2,0,3,443,0,22.4,1,206.86,2,56,4,5,3,56,1,62247,2,1989064,1.0,1.0,502.0,362.0,0.0,1.0,1.0,0.0,1.0,4.0,0.0,6.0,1.0
2,6,381,220.57,22.65,0,4,3333,0,21.6,1,143.61,3,241,21,20,7,453,3,49547,3,419920,1.0,1.0,502.0,361.0,0.0,1.0,1.0,2.0,1.0,12.0,0.0,6.0,1.0
2,6,482,122.25,11.2,0,3,443,0,22.4,1,207.72,2,56,4,5,3,56,1,53900,2,7843380,1.0,1.0,502.0,364.0,0.0,1.0,1.0,0.0,1.0,4.0,0.0,6.0,1.0
2,6,1460,573.0,93.64,0,6,443,37,21.09,1,653.14,5,341,12,11,6,1030,1,56920,2,4136461,1.0,1.0,502.0,361.0,66.0,1.0,1.0,3.0,8.0,12.0,0.0,7.0,1.0
2,6,157,52.2,8.8,0,3,80,0,22.4,1,66.09,2,44,5,5,4,44,1,57049,2,1294410,1.0,1.0,200.0,104.0,0.0,1.0,1.0,2.0,1.0,12.0,0.0,6.0,1.0
2,6,229,46.33,338.1,2,4,3581,8,21.2,1,83.14,6,1460,12,10,10,3381,1,50011,2,8689501,1.0,8.0,502.0,361.0,66.0,5.0,1.0,12.0,4.0,14.0,0.0,1.0,1.0
0,6,0,0.0,325.0,2,0,51873,79,21.09,0,0.0,8,1460,0,11,0,3575,1,443,2,7057533,1.0,1.0,502.0,361.0,0.0,0.0,1.0,2.0,1.0,12.0,0.0,8.0,1.0
2,6,490,124.25,11.2,0,3,443,0,22.4,1,211.19,2,56,4,5,3,56,1,49856,2,1042843,1.0,1.0,502.0,372.0,0.0,1.0,1.0,0.0,1.0,4.0,0.0,6.0,1.0
2,6,157,32.62,8.8,0,3,80,0,22.4,2,58.04,2,44,10,10,7,88,2,51818,2,4021579,1.0,1.0,200.0,104.0,0.0,1.0,1.0,2.0,1.0,12.0,0.0,6.0,1.0
2,6,480,121.75,18.0,0,3,443,0,22.4,1,206.86,2,90,4,5,3,90,1,57925,2,9089895,1.0,1.0,502.0,362.0,0.0,1.0,1.0,2.0,1.0,12.0,0.0,6.0,1.0
2,6,1420,461.86,23.17,0,7,443,0,20.4,0,633.21,5,352,42,30,27,695,1,49598,2,9757544,1.0,1.0,502.0,361.0,66.0,6.0,1.0,9.0,5.0,15.0,0.0,3.0,1.0
1,17,346,196.5,33.0,0,2,53,31,8.0,0,149.5,2,35,2,2,1,66,0,63632,1,5576456,1.0,1.0,502.0,361.0,0.0,1.0,1.0,2.0,1.0,12.0,0.0,6.0,10.0
2,6,517,48.0,306.91,2,5,9452,8,21.09,1,134.06,7,1460,14,11,13,3376,1,65167,2,388341,1.0,1.0,502.0,361.0,66.0,5.0,1.0,16.0,4.0,17.0,0.0,1.0,1.0
2,6,315,73.86,108.83,0,4,80,0,22.0,1,115.26,3,366,7,6,5,653,1,50331,2,2099346,1.0,2.0,404.0,315.0,0.0,1.0,1.0,2.0,1.0,12.0,0.0,6.0,1.0
1,17,399,399.0,34.0,0,1,53,34,8.0,0,0.0,1,34,1,1,0,34,0,62378,1,6092321,1.0,1.0,502.0,361.0,0.0,1.0,1.0,2.0,1.0,12.0,0.0,6.0,11.0
0,17,0,0.0,19.0,0,0,5355,19,8.0,0,0.0,1,19,0,2,0,38,0,52320,1,2662538,1.0,1.0,502.0,361.0,0.0,1.0,1.0,2.0,1.0,12.0,0.0,6.0,1.0
0,17,0,0.0,175.0,0,0,1900,175,8.0,0,0.0,1,175,0,4,0,700,0,57524,1,2438725,1.0,1.0,502.0,361.0,0.0,1.0,1.0,2.0,1.0,12.0,0.0,6.0,1.0
0,17,0,0.0,174.0,0,0,1900,174,8.0,0,0.0,1,174,0,12,0,2088,0,61812,1,2046197,1.0,1.0,502.0,361.0,0.0,1.0,1.0,2.0,1.0,12.0,0.0,6.0,1.0
2,6,474,120.25,11.2,0,3,443,0,22.4,1,204.26,2,56,4,5,3,56,1,53601,2,8554841,1.0,1.0,502.0,356.0,0.0,1.0,1.0,0.0,1.0,4.0,0.0,6.0,1.0
1,6,0,0.0,0.0,0,1,8080,0,30.67,0,0.0,1,0,3,3,3,0,3,51875,2,8141185,1.0,1.0,502.0,361.0,0.0,1.0,1.0,2.0,1.0,12.0,0.0,6.0,1.0
0,17,0,0.0,172.0,0,0,1900,172,8.0,0,0.0,1,172,0,4,0,688,0,45188,1,386276,1.0,1.0,502.0,361.0,0.0,1.0,1.0,2.0,1.0,12.0,0.0,6.0,1.0
2,6,1420,469.54,34.7,0,5,443,0,20.8,0,637.3,4,190,13,10,8,347,1,58386,2,8783925,1.0,1.0,502.0,361.0,66.0,4.0,1.0,9.0,5.0,15.0,0.0,1.0,1.0
1,17,486,295.0,36.5,0,2,53,30,8.0,0,191.0,2,43,2,2,1,73,0,53122,1,4095696,1.0,1.0,502.0,361.0,0.0,1.0,1.0,2.0,1.0,12.0,0.0,6.0,0.0
2,6,480,121.75,11.2,0,3,443,0,22.4,1,206.86,2,56,4,5,3,56,1,53832,2,4840187,1.0,1.0,502.0,362.0,0.0,1.0,1.0,0.0,1.0,4.0,0.0,6.0,1.0
1,6,0,0.0,0.0,0,1,8080,0,30.67,0,0.0,1,0,3,3,3,0,3,60408,2,6525772,1.0,1.0,502.0,361.0,0.0,1.0,1.0,2.0,1.0,12.0,0.0,6.0,1.0
2,6,315,86.17,108.83,0,4,80,0,22.0,1,120.16,3,366,6,6,4,653,1,60931,2,9881378,1.0,2.0,404.0,315.0,0.0,1.0,1.0,2.0,1.0,12.0,0.0,6.0,1.0
0,17,0,0.0,174.0,0,0,1900,174,8.0,0,0.0,1,174,0,8,0,1392,0,64550,1,5986950,1.0,1.0,502.0,361.0,0.0,1.0,1.0,2.0,1.0,12.0,0.0,6.0,1.0
0,17,0,0.0,492.33,0,0,1900,483,8.0,0,0.0,3,520,0,3,0,1477,0,54247,1,135733,1.0,1.0,502.0,361.0,0.0,1.0,1.0,2.0,1.0,12.0,0.0,6.0,1.0
2,6,478,121.25,11.2,0,3,443,0,21.6,1,205.99,2,56,4,5,3,56,1,60492,2,7162910,1.0,1.0,502.0,360.0,0.0,1.0,1.0,0.0,1.0,4.0,0.0,6.0,1.0
1,17,61,61.0,33.0,0,1,53,33,8.0,0,0.0,1,33,1,1,1,33,0,52464,1,9925956,1.0,1.0,502.0,361.0,0.0,1.0,1.0,2.0,1.0,12.0,0.0,6.0,1.0
2,6,1460,576.08,97.7,0,6,443,0,21.2,1,650.96,6,341,12,10,5,977,1,49493,2,5563396,1.0,1.0,502.0,361.0,66.0,1.0,1.0,3.0,7.0,12.0,0.0,7.0,1.0
0,6,0,0.0,0.0,0,0,61267,0,20.0,0,0.0,1,0,0,3,0,0,0,443,1,2596302,1.0,1.0,502.0,361.0,0.0,1.0,1.0,2.0,1.0,12.0,0.0,6.0,1.0
2,6,701,175.25,92.17,0,2,80,0,22.0,1,303.54,2,553,4,6,3,553,1,51049,2,4825028,1.0,1.0,200.0,43.0,0.0,1.0,1.0,2.0,1.0,12.0,0.0,6.0,1.0
2,6,1420,290.64,50.9,0,7,443,0,21.2,0,508.2,5,205,14,10,10,509,1,49433,2,1734171,1.0,1.0,502.0,361.0,33.0,5.0,1.0,10.0,6.0,15.0,0.0,4.0,1.0
2,6,365,81.0,68.17,0,3,80,0,22.0,1,142.84,2,409,5,6,4,409,1,49159,2,6127062,1.0,2.0,200.0,0.0,0.0,1.0,1.0,2.0,1.0,12.0,0.0,6.0,1.0
1,17,202,153.5,35.0,0,2,53,34,8.0,0,48.5,2,36,2,2,1,70,0,60901,1,180469,1.0,1.0,502.0,361.0,0.0,1.0,1.0,2.0,1.0,12.0,0.0,6.0,4.0
2,6,482,122.25,18.0,0,3,443,0,22.4,1,207.72,2,90,4,5,3,90,1,65347,2,5294712,1.0,1.0,502.0,364.0,0.0,1.0,1.0,2.0,1.0,12.0,0.0,6.0,1.0
1,6,0,0.0,0.0,0,1,80,0,30.67,0,0.0,1,0,3,3,3,0,3,49587,2,2310507,1.0,1.0,502.0,361.0,0.0,1.0,1.0,2.0,1.0,12.0,0.0,6.0,1.0
1,17,454,454.0,44.0,0,1,53,44,8.0,0,0.0,1,44,1,1,0,44,0,59817,1,7984808,1.0,1.0,502.0,361.0,0.0,1.0,1.0,2.0,1.0,12.0,0.0,6.0,2.0
0,17,0,0.0,174.0,0,0,1900,174,8.0,0,0.0,1,174,0,4,0,696,0,50498,1,3255964,1.0,1.0,502.0,361.0,0.0,1.0,1.0,2.0,1.0,12.0,0.0,6.0,1.0
2,6,1448,525.39,37.0,0,5,443,0,32.36,18,657.98,5,454,18,22,10,814,22,36560,2,6349966,1.0,1.0,502.0,361.0,66.0,6.0,1.0,9.0,6.0,11.0,0.0,2.0,1.0
0,17,0,0.0,172.0,0,0,1900,172,8.0,0,0.0,1,172,0,4,0,688,0,39559,1,677449,1.0,1.0,502.0,361.0,0.0,1.0,1.0,2.0,1.0,12.0,0.0,6.0,1.0
0,6,0,0.0,306.89,1,0,51941,37,21.33,0,0.0,6,1460,0,9,0,2762,1,443,2,2012301,1.0,1.0,502.0,361.0,0.0,1.0,1.0,2.0,1.0,12.0,0.0,6.0,1.0
1,17,117,117.0,39.0,0,1,53,39,8.0,0,0.0,1,39,1,1,1,39,0,55210,1,5023547,1.0,1.0,502.0,361.0,0.0,1.0,1.0,2.0,1.0,12.0,0.0,6.0,3.0
2,6,474,120.25,18.0,0,3,443,0,22.4,1,204.26,2,90,4,5,3,90,1,53993,2,9561326,1.0,1.0,502.0,356.0,0.0,1.0,1.0,2.0,1.0,12.0,0.0,6.0,1.0
0,6,0,0.0,307.0,1,0,50750,37,21.33,0,0.0,6,1460,0,9,0,2763,1,443,2,8574543,1.0,1.0,502.0,361.0,0.0,1.0,1.0,2.0,1.0,12.0,0.0,6.0,1.0
0,17,0,0.0,174.0,0,0,1900,174,8.0,0,0.0,1,174,0,4,0,696,0,52096,1,5448813,1.0,1.0,502.0,361.0,0.0,1.0,1.0,2.0,1.0,12.0,0.0,6.0,1.0
2,6,155,51.8,8.8,0,3,80,0,22.4,1,65.46,2,44,5,5,4,44,1,59523,2,8879523,1.0,1.0,200.0,104.0,0.0,1.0,1.0,2.0,1.0,12.0,0.0,6.0,1.0
1,6,0,0.0,0.0,0,1,9103,0,40.0,0,0.0,1,0,1,1,1,0,1,49436,1,6455525,1.0,1.0,502.0,361.0,0.0,1.0,1.0,2.0,1.0,12.0,0.0,6.0,1.0
1,17,178,178.0,39.0,0,1,53,39,8.0,0,0.0,1,39,1,1,0,39,0,50286,1,9322466,1.0,1.0,502.0,361.0,0.0,1.0,1.0,2.0,1.0,12.0,0.0,6.0,1.0
0,6,0,0.0,0.0,0,0,8080,0,30.67,0,0.0,1,0,0,3,0,0,3,57600,2,3871413,1.0,1.0,502.0,361.0,0.0,1.0,1.0,2.0,1.0,12.0,0.0,6.0,1.0
0,17,0,0.0,174.0,0,0,1900,174,8.0,0,0.0,1,174,0,4,0,696,0,62170,1,4088064,1.0,1.0,502.0,361.0,0.0,1.0,1.0,2.0,1.0,12.0,0.0,6.0,1.0
2,6,480,97.4,9.33,0,3,443,0,22.0,1,191.32,2,56,5,6,4,56,1,49938,2,8297779,1.0,1.0,502.0,362.0,0.0,1.0,1.0,0.0,1.0,4.0,0.0,6.0,1.0
1,6,0,0.0,0.0,0,1,449,0,30.67,0,0.0,1,0,3,3,3,0,3,50730,2,2497363,1.0,1.0,502.0,361.0,0.0,1.0,1.0,2.0,1.0,12.0,0.0,6.0,1.0
0,6,0,0.0,307.0,1,0,60951,37,21.33,0,0.0,6,1460,0,9,0,2763,1,443,2,381568,1.0,1.0,502.0,361.0,0.0,1.0,1.0,2.0,1.0,12.0,0.0,6.0,1.0
2,6,480,121.75,11.2,0,3,443,0,22.4,1,206.86,2,56,4,5,3,56,1,53059,2,1460767,1.0,1.0,502.0,362.0,0.0,1.0,1.0,0.0,1.0,4.0,0.0,6.0,1.0
1,17,114,114.0,33.0,0,1,53,33,8.0,0,0.0,1,33,2,2,2,66,0,64353,1,8768059,1.0,1.0,502.0,361.0,0.0,1.0,1.0,2.0,1.0,12.0,0.0,6.0,1.0
1,6,0,0.0,0.0,0,1,11110,0,40.0,0,0.0,1,0,1,1,1,0,1,57362,1,1036487,1.0,1.0,502.0,361.0,0.0,1.0,1.0,2.0,1.0,12.0,0.0,6.0,1.0
2,6,315,73.86,108.83,0,4,80,0,22.0,1,115.26,3,366,7,6,5,653,1,54013,2,943920,1.0,2.0,404.0,315.0,0.0,1.0,1.0,2.0,1.0,12.0,0.0,6.0,1.0
2,6,1058,147.78,552.18,4,4,3889,149,21.09,1,328.58,6,1460,9,11,7,6074,1,56434,2,4104459,1.0,1.0,502.0,361.0,258.0,0.0,1.0,2.0,6.0,12.0,0.0,5.0,1.0
1,6,0,0.0,0.0,0,1,445,0,28.0,0,0.0,1,0,3,3,3,0,3,53239,1,5776758,1.0,1.0,502.0,361.0,0.0,1.0,1.0,2.0,1.0,12.0,0.0,6.0,1.0
2,6,476,120.75,11.2,0,3,443,0,22.4,1,205.12,2,56,4,5,3,56,1,52821,2,9408319,1.0,1.0,502.0,358.0,0.0,1.0,1.0,0.0,1.0,4.0,0.0,6.0,1.0
1,6,0,0.0,0.0,0,1,8080,0,30.67,0,0.0,1,0,3,3,3,0,3,62292,2,7157844,1.0,1.0,502.0,361.0,0.0,1.0,1.0,2.0,1.0,12.0,0.0,6.0,1.0
0,6,0,0.0,0.0,0,0,64443,0,20.0,0,0.0,1,0,0,3,0,0,0,443,1,2075414,1.0,1.0,502.0,361.0,0.0,1.0,1.0,2.0,1.0,12.0,0.0,6.0,1.0
